Datetime,Open,High,Low,Close,Volume
2025-10-14 20:45:00,4141.9050,4145.3150,4140.9250,4140.9250,0.2111
2025-10-14 21:00:00,4140.9250,4140.9250,4140.9250,4140.9250,0.0000
2025-10-14 21:15:00,4140.9250,4140.9250,4140.9250,4140.9250,0.0000
2025-10-14 21:30:00,4140.9250,4140.9250,4140.9250,4140.9250,0.0000
2025-10-14 21:45:00,4140.9250,4140.9250,4140.9250,4140.9250,0.0000
2025-10-14 22:00:00,4141.9550,4160.5480,4140.0650,4160.4480,0.2693
2025-10-14 22:15:00,4160.3480,4163.2480,4150.8080,4152.0750,0.4967
2025-10-14 22:30:00,4151.7850,4160.2050,4149.7250,4157.1750,0.2570
2025-10-14 22:45:00,4157.1950,4161.5950,4156.8850,4158.0980,0.1723
2025-10-14 23:00:00,4158.2090,4161.5980,4156.6750,4159.9480,0.2076
2025-10-14 23:15:00,4159.9480,4163.8980,4158.6780,4163.3980,0.2682
2025-10-14 23:30:00,4163.1980,4165.8690,4161.8350,4165.1750,0.3403
2025-10-14 23:45:00,4165.1550,4166.9550,4159.9050,4161.3250,0.2265
2025-10-15 00:00:00,4161.3050,4169.4150,4157.8050,4168.3450,0.4089
2025-10-15 00:15:00,4168.3650,4169.2150,4153.4650,4155.7150,0.6102
2025-10-15 00:30:00,4155.7450,4168.5750,4154.6450,4166.8150,0.4346
2025-10-15 00:45:00,4166.7980,4167.7550,4158.9350,4162.2150,0.5287
2025-10-15 01:00:00,4162.1850,4184.8550,4161.7450,4178.8250,1.0256
2025-10-15 01:15:00,4178.6390,4186.5650,4173.5980,4185.1550,0.9121
2025-10-15 01:30:00,4185.0980,4186.2650,4175.5850,4177.5150,0.6319
2025-10-15 01:45:00,4177.4980,4182.7350,4175.7550,4181.4450,0.4865
2025-10-15 02:00:00,4181.5550,4184.3450,4177.5350,4179.5550,0.4549
2025-10-15 02:15:00,4179.5250,4183.6750,4178.4980,4178.7650,0.2470
2025-10-15 02:30:00,4178.7350,4179.7480,4166.6980,4171.3480,0.8784
2025-10-15 02:45:00,4171.4480,4176.9750,4167.6480,4176.2750,0.5810
2025-10-15 03:00:00,4176.3450,4184.5150,4175.9550,4183.3650,0.4164
2025-10-15 03:15:00,4183.3950,4185.5350,4179.3350,4183.3980,0.5807
2025-10-15 03:30:00,4183.3980,4185.1980,4179.9480,4184.5350,0.3136
2025-10-15 03:45:00,4184.5150,4190.5150,4184.3250,4186.8150,0.3204
2025-10-15 04:00:00,4186.9050,4187.3250,4182.2450,4184.7550,0.2219
2025-10-15 04:15:00,4184.6950,4185.1150,4172.8480,4175.9480,0.3917
2025-10-15 04:30:00,4176.0480,4180.1550,4173.9050,4178.8750,0.3422
2025-10-15 04:45:00,4178.8850,4179.7350,4177.5650,4179.4050,0.1555
2025-10-15 05:00:00,4179.3650,4190.5850,4176.2950,4189.4850,0.3844
2025-10-15 05:15:00,4189.4850,4192.9180,4185.7480,4192.4850,0.4177
2025-10-15 05:30:00,4192.4880,4193.3180,4184.3380,4188.2950,0.6027
2025-10-15 05:45:00,4188.2150,4191.5950,4184.3050,4185.5480,0.5669
2025-10-15 06:00:00,4185.4480,4193.2850,4183.8480,4191.7850,0.4359
2025-10-15 06:15:00,4191.8350,4192.4150,4187.1850,4189.9550,0.3768
2025-10-15 06:30:00,4189.9750,4194.1550,4187.2750,4193.7550,0.4093
2025-10-15 06:45:00,4193.7750,4200.1550,4193.2050,4199.2550,0.3845
2025-10-15 07:00:00,4199.1250,4200.4450,4194.1450,4199.3050,0.4209
2025-10-15 07:15:00,4199.3450,4200.5050,4197.6150,4199.4250,0.3063
2025-10-15 07:30:00,4199.3750,4207.7750,4198.7050,4204.6550,0.4758
2025-10-15 07:45:00,4204.6150,4209.6450,4204.0850,4207.5450,0.2861
2025-10-15 08:00:00,4207.5950,4216.0950,4206.9250,4212.7250,0.4949
2025-10-15 08:15:00,4212.7050,4217.9950,4207.9850,4210.4250,0.5279
2025-10-15 08:30:00,4210.4550,4216.7150,4210.1480,4215.1550,0.3481
2025-10-15 08:45:00,4215.1750,4216.7450,4207.3480,4207.8850,0.4135
2025-10-15 09:00:00,4207.8850,4211.8650,4202.3450,4202.3850,0.6107
2025-10-15 09:15:00,4202.4550,4203.4950,4163.1490,4189.8150,1.2030
2025-10-15 09:30:00,4189.5950,4196.4750,4188.3250,4192.6650,0.6625
2025-10-15 09:45:00,4192.6550,4195.4850,4189.6150,4192.1750,0.6976
2025-10-15 10:00:00,4192.1190,4200.4980,4191.0050,4198.7450,0.6218
2025-10-15 10:15:00,4198.7450,4206.0480,4195.2880,4201.1450,0.5250
2025-10-15 10:30:00,4200.5750,4202.1050,4190.1190,4191.7850,0.3752
2025-10-15 10:45:00,4191.5950,4203.0450,4191.1250,4202.5250,0.3783
2025-10-15 11:00:00,4202.4250,4203.3150,4197.2250,4202.1050,0.3243
2025-10-15 11:15:00,4202.2450,4203.0350,4199.8450,4201.8050,0.2467
2025-10-15 11:30:00,4201.8250,4203.9750,4196.9980,4197.8650,0.5637
2025-10-15 11:45:00,4197.8550,4200.3650,4193.3850,4198.4650,0.6261
2025-10-15 12:00:00,4198.4980,4202.4650,4192.4750,4192.6450,0.4789
2025-10-15 12:15:00,4192.6650,4193.5150,4180.0000,4180.9190,1.1965
2025-10-15 12:30:00,4180.9190,4189.3850,4175.7790,4185.0750,1.0427
2025-10-15 12:45:00,4185.1050,4192.2850,4180.9950,4190.4250,0.6386
2025-10-15 13:00:00,4190.4150,4197.1650,4182.6450,4195.1350,0.8360
2025-10-15 13:15:00,4195.2350,4197.5980,4188.5850,4194.0250,0.6757
2025-10-15 13:30:00,4194.0050,4198.4950,4183.0750,4194.6150,1.1737
2025-10-15 13:45:00,4194.6150,4197.0950,4186.6880,4191.8480,1.7638
2025-10-15 14:00:00,4191.8480,4212.1350,4191.4750,4207.9450,1.5247
2025-10-15 14:15:00,4207.9250,4211.5090,4203.9880,4205.5890,1.4090
2025-10-15 14:30:00,4205.5890,4206.8790,4193.8550,4198.0550,0.9225
2025-10-15 14:45:00,4198.0480,4203.4480,4191.2850,4199.8050,0.9027
2025-10-15 15:00:00,4199.8250,4201.6050,4193.0650,4198.4250,1.3401
2025-10-15 15:15:00,4198.4050,4202.7550,4196.6650,4201.0550,1.4056
2025-10-15 15:30:00,4201.0150,4201.4150,4184.4150,4194.3950,1.3523
2025-10-15 15:45:00,4194.4250,4198.1980,4179.1450,4190.3480,1.3350
2025-10-15 16:00:00,4190.3480,4195.5350,4185.9750,4190.8150,1.3958
2025-10-15 16:15:00,4190.8150,4199.2390,4190.6950,4196.9250,0.9931
2025-10-15 16:30:00,4196.9250,4198.1550,4189.7250,4196.3550,0.6676
2025-10-15 16:45:00,4196.2480,4199.6750,4192.5190,4198.7350,1.2597
2025-10-15 17:00:00,4198.7450,4199.4480,4182.9750,4185.1450,0.9323
2025-10-15 17:15:00,4185.1050,4192.9750,4182.3450,4188.2150,1.2075
2025-10-15 17:30:00,4188.3250,4192.8450,4186.1250,4192.6480,1.4240
2025-10-15 17:45:00,4192.6480,4197.6480,4191.9750,4197.6480,1.0062
2025-10-15 18:00:00,4197.5480,4204.4980,4196.0480,4199.9980,1.4985
2025-10-15 18:15:00,4199.8980,4200.4980,4194.8280,4198.0950,1.1893
2025-10-15 18:30:00,4197.8180,4199.9750,4196.3950,4198.8050,0.2964
2025-10-15 18:45:00,4198.8250,4201.2580,4195.8380,4200.4550,0.4841
2025-10-15 19:00:00,4200.4480,4206.0650,4200.2450,4205.5780,0.4537
2025-10-15 19:15:00,4205.6380,4211.5950,4205.0650,4210.7350,0.7360
2025-10-15 19:30:00,4210.7050,4212.2550,4205.4480,4205.9350,1.0469
2025-10-15 19:45:00,4205.9650,4213.2850,4205.7050,4210.0150,1.2403
2025-10-15 20:00:00,4210.0980,4212.5480,4208.1480,4208.7550,0.3188
2025-10-15 20:15:00,4208.7350,4209.8480,4205.7980,4207.3480,0.3414
2025-10-15 20:30:00,4207.5550,4211.0980,4206.9180,4210.3650,0.1913
2025-10-15 20:45:00,4210.4150,4210.5150,4206.5750,4206.5750,0.1775
2025-10-15 21:00:00,4206.5750,4206.5750,4206.5750,4206.5750,0.0000
2025-10-15 21:15:00,4206.5750,4206.5750,4206.5750,4206.5750,0.0000
2025-10-15 21:30:00,4206.5750,4206.5750,4206.5750,4206.5750,0.0000
2025-10-15 21:45:00,4206.5750,4206.5750,4206.5750,4206.5750,0.0000
2025-10-15 22:00:00,4208.3950,4212.7650,4202.7250,4204.7450,0.2814
2025-10-15 22:15:00,4204.7850,4212.5550,4199.2850,4211.2480,1.0862
2025-10-15 22:30:00,4211.2650,4215.2750,4209.9480,4215.1250,0.4117
2025-10-15 22:45:00,4215.1150,4215.5550,4211.7350,4212.8480,0.2239
2025-10-15 23:00:00,4212.8090,4215.4480,4208.2050,4210.0850,0.5479
2025-10-15 23:15:00,4210.0850,4212.4580,4208.2950,4211.6150,0.5645
2025-10-15 23:30:00,4211.6150,4212.6250,4205.6850,4208.0450,0.2621
2025-10-15 23:45:00,4207.9850,4211.4050,4206.7050,4209.2850,0.3520
2025-10-16 00:00:00,4209.2850,4215.4750,4204.6980,4214.7750,0.4853
2025-10-16 00:15:00,4214.7650,4224.9450,4214.6950,4222.7950,0.5325
2025-10-16 00:30:00,4222.9250,4226.9950,4220.3850,4222.6650,0.6182
2025-10-16 00:45:00,4222.7480,4222.9650,4210.0750,4210.1250,1.0693
2025-10-16 01:00:00,4210.1250,4222.5850,4210.1250,4220.3980,0.8720
2025-10-16 01:15:00,4220.6150,4227.8450,4218.1350,4224.4750,0.5662
2025-10-16 01:30:00,4224.4750,4232.7450,4223.4550,4230.6050,0.6201
2025-10-16 01:45:00,4230.6750,4231.2150,4222.4480,4229.9980,0.5367
2025-10-16 02:00:00,4230.0080,4234.3450,4229.3580,4234.2150,0.3779
2025-10-16 02:15:00,4234.2350,4234.3150,4231.1150,4231.4250,0.2715
2025-10-16 02:30:00,4231.3650,4236.1450,4225.6550,4235.7850,0.4931
2025-10-16 02:45:00,4235.7950,4239.3350,4233.8250,4239.2950,0.4249
2025-10-16 03:00:00,4239.1150,4241.9550,4235.0750,4238.2550,0.4908
2025-10-16 03:15:00,4238.2150,4241.0750,4233.8150,4235.1650,0.6514
2025-10-16 03:30:00,4235.1350,4236.3980,4228.7980,4233.0350,0.9794
2025-10-16 03:45:00,4233.0350,4235.4050,4231.5550,4233.5450,0.7776
2025-10-16 04:00:00,4233.2350,4235.5980,4229.9850,4234.7750,0.4537
2025-10-16 04:15:00,4234.7550,4238.9150,4234.1050,4237.8950,0.1817
2025-10-16 04:30:00,4237.8450,4239.1850,4232.4850,4234.1850,0.3348
2025-10-16 04:45:00,4234.1550,4234.7450,4227.8350,4233.3150,0.5233
2025-10-16 05:00:00,4233.3250,4234.5950,4224.3850,4226.7850,0.4624
2025-10-16 05:15:00,4226.8150,4230.5850,4221.2750,4223.6750,0.5027
2025-10-16 05:30:00,4223.6550,4223.7650,4204.2050,4211.3980,1.4658
2025-10-16 05:45:00,4211.3980,4211.3980,4203.1750,4204.6050,1.0651
2025-10-16 06:00:00,4204.2950,4222.5750,4203.3150,4221.7050,0.8505
2025-10-16 06:15:00,4221.6950,4227.0950,4221.6350,4224.3750,0.5932
2025-10-16 06:30:00,4224.0850,4226.0050,4218.2150,4218.3450,0.6130
2025-10-16 06:45:00,4218.3750,4222.6150,4215.3950,4222.5750,0.5130
2025-10-16 07:00:00,4222.2850,4231.5950,4222.1480,4231.4950,0.5127
2025-10-16 07:15:00,4231.5150,4233.8550,4228.9380,4233.5480,0.4323
2025-10-16 07:30:00,4233.5480,4233.5480,4226.5480,4230.2150,0.3996
2025-10-16 07:45:00,4230.2450,4231.5450,4225.8350,4230.4550,0.4576
2025-10-16 08:00:00,4230.4850,4235.7850,4230.3830,4231.7550,0.4405
2025-10-16 08:15:00,4231.7550,4235.4250,4230.5850,4231.1480,0.5293
2025-10-16 08:30:00,4231.2650,4232.7650,4228.3050,4231.9850,0.3809
2025-10-16 08:45:00,4232.0250,4234.1250,4229.0450,4232.7050,0.2656
2025-10-16 09:00:00,4232.7850,4234.7450,4228.9350,4229.8450,0.4400
2025-10-16 09:15:00,4229.7750,4231.3450,4222.5650,4222.8850,0.5942
2025-10-16 09:30:00,4222.8650,4227.6950,4221.6650,4227.0950,0.5460
2025-10-16 09:45:00,4227.0550,4241.7350,4227.0250,4239.1650,0.4128
2025-10-16 10:00:00,4239.1350,4242.9550,4234.9550,4238.6450,0.5447
2025-10-16 10:15:00,4238.6250,4241.9450,4236.1780,4237.4480,0.4070
2025-10-16 10:30:00,4237.4480,4240.0480,4233.8450,4238.9850,0.3575
2025-10-16 10:45:00,4239.0480,4245.9050,4237.7450,4242.5550,0.4792
2025-10-16 11:00:00,4242.4250,4244.7950,4239.2150,4242.8650,0.4922
2025-10-16 11:15:00,4242.9750,4246.4480,4241.8150,4244.3050,0.4012
2025-10-16 11:30:00,4244.2780,4247.3550,4242.2780,4246.3150,0.8497
2025-10-16 11:45:00,4246.3150,4247.3550,4239.8450,4240.2650,0.5469
2025-10-16 12:00:00,4240.2650,4244.8250,4239.7880,4244.7050,0.4110
2025-10-16 12:15:00,4244.9350,4245.1050,4236.4250,4238.2480,0.4738
2025-10-16 12:30:00,4238.2480,4250.7750,4227.1850,4236.9750,1.0265
2025-10-16 12:45:00,4236.9050,4240.1750,4232.7650,4235.8050,0.8834
2025-10-16 13:00:00,4235.8250,4247.0150,4234.7150,4245.4950,0.9177
2025-10-16 13:15:00,4245.5050,4254.6750,4243.8250,4251.2950,0.9750
2025-10-16 13:30:00,4251.2750,4258.4480,4244.9980,4255.4480,1.2146
2025-10-16 13:45:00,4255.4480,4256.4850,4242.8550,4245.9950,1.0261
2025-10-16 14:00:00,4245.3350,4265.5150,4245.1250,4265.1350,1.2340
