s,entry,exit,dir,r,px,sl,tp,stop,reason,mfe,mae,dur_h,m5_macd,m5_hist,m5_rsi,m5_atrp,m5_bbw,m5_stack,m5_above200,m5_volr,m5_cvd20,h1_macd,h1_hist,h1_rsi,h1_atrp,h1_bbw,h1_stack,h1_above200,h1_volr,h1_cvd20,m15_macd,m15_hist,m15_rsi,m15_atrp,m15_bbw,m15_stack,m15_above200,m15_volr,m15_cvd20,h4_macd,h4_hist,h4_rsi,h4_atrp,h4_bbw,h4_stack,h4_above200,h4_volr,h4_cvd20,d1_macd,d1_hist,d1_rsi,d1_atrp,d1_bbw,d1_stack,d1_above200,d1_volr,d1_cvd20,ym
harmonic,2022-06-30 14:35:00,2022-07-06 14:10:00,bear,4.883779103328844,1809.14,1820.4,1752.86,11.26,tp,5.037833037255447,0.49147424511107735,143.58333333333334,-0.0030366721410035762,-0.05582578828865741,38.87984112415254,0.11993709366285947,0.654781093418446,-1.0,0.0,1.3814432989690721,-2.0183999999999953,-0.0734153208974648,0.006252038482390632,50.02586021122931,0.30859812391903196,0.8206674347555433,-2.0,0.0,2.3345839770470094,-0.24059999999999748,0.027362535303908354,0.02986303205419529,47.08787751390557,0.315070179719861,1.210873841237793,1.0,0.0,1.737022689540675,-1.9996999999999998,-0.21506635007344355,-0.0639692587081918,28.923301872803847,0.4159991061032349,1.4355222959104872,-2.0,0.0,1.365851957134013,-66.7364,-0.4312011329026112,-0.06968548097933465,40.971398545750326,0.8754576599589957,3.996318256773515,-2.0,0.0,1.1687797963043023,-18.939099999999975,2022-07
fvg,2022-06-23 22:25:00,2022-07-14 13:45:00,bear,4.949074074074074,1823.25,1848.24,1698.31,24.99,tp,5.034493797498858,0.7082032813096949,495.3333333333333,-0.008237931731254233,0.019052468730670544,55.97552037221302,0.016037128458182028,0.18048522986535573,1.0,0.0,0.18354978354978357,-0.18909999999999524,-0.14480030299302507,-0.07506413550400799,36.04958749825516,0.2895788909655217,1.2063758722838542,-2.0,0.0,0.0,-10.588199999999997,-0.12292129684442024,0.0044600165091255705,40.78771190546682,0.06181107103743253,0.4188129473743374,-2.0,0.0,0.14938928906984025,-2.350699999999999,-0.09587364124025922,-0.02493464941636426,40.65247773794373,0.5286459671678209,0.9559218045660071,-2.0,0.0,1.7928642220019821,7.976599999999991,-0.2821011860586971,-0.03635824417188923,46.459260870692106,1.2460369493697228,3.505583036397095,-2.0,0.0,1.1868877144378076,-69.37809999999998,2022-07
fvg,2022-07-20 08:30:00,2022-07-21 15:00:00,bear,-1.1779613290782804,1707.81,1714.83,1672.7,7.02,sl,3.8549857549308264,1.249002848985061,30.5,-0.01555236853982771,0.0009202713683221749,42.66814840461761,0.06222274369743989,0.13189895986889166,-2.0,0.0,0.7275953859804792,-0.07829999999999471,-0.03928971876070458,-0.027582651177563224,41.874612107812965,0.1343460758931083,0.4190951502954596,-2.0,0.0,1.304131010281352,2.5703000000000014,-0.06244411824186973,-0.0054783280321282326,37.517065902621646,0.09665656736161948,0.5346315741706088,-2.0,0.0,1.3970944309927358,-0.7029999999999994,-0.06337731159772712,0.01878006948891085,41.54645136410138,0.39203167210621526,0.7811216184629736,-2.0,0.0,0.9622993654348638,4.966499999999991,-1.7464555700706361,-0.07507296643365197,22.076003762451037,0.9922078438554324,8.982624793151924,-2.0,0.0,0.98590168709251,-135.30399999999997,2022-07
harmonic,2022-09-06 12:30:00,2022-09-08 07:00:00,bear,-1.1148518484542702,1711.51,1722.42,1656.97,10.91,sl,1.8599450045658956,1.0282309807421655,42.5,0.01143677128716736,0.0016534167297275531,46.32783997125469,0.07112014774971208,0.18641178080638365,1.0,0.0,1.4508143322475568,-0.10859999999999498,0.030258211335568715,-0.028962345752355033,50.55793374643874,0.26198108730025627,0.904563432693339,2.0,0.0,2.19242377579304,1.0493000000000028,-0.04645396716019509,0.009888531882368844,44.50888692522471,0.09717806933284603,0.3315035434638538,-2.0,0.0,1.549375153148738,-2.3526999999999987,0.01868403008895871,0.05431736791706722,53.02463399115969,0.2481075301501954,0.49554598242826003,1.0,0.0,1.568150090951394,-8.470500000000005,-0.857837250143477,-0.15468273251453335,38.435234884633836,0.843517680689364,4.489723816548576,-2.0,0.0,0.57665413157397,-111.67569999999998,2022-09
fvg,2022-08-26 14:00:00,2022-09-15 14:50:00,bear,4.920695222718207,1745.23,1760.65,1668.12,15.42,tp,5.033852140045166,0.7080415045349604,480.8333333333333,0.07347262233471968,0.010551442113000227,55.54611338998937,0.12415464167593172,0.5896809756860385,2.0,0.0,1.3524691358024692,0.512500000000005,-0.1175855294196976,-0.05367914430384485,45.56858218440668,0.219483736329384,0.9431442737870506,-2.0,0.0,3.2141854731651813,-3.2071999999999994,-0.03930360134226068,0.04820367930574731,55.35679687415698,0.15053250567923318,0.5675298896180414,-2.0,0.0,2.1982028241335048,-0.8355999999999977,0.09051500956894781,-0.005916786785093814,42.26529495382215,0.3920252986730732,1.574168955143888,1.0,0.0,1.4047478572424668,2.8124999999999902,-0.2717555577993099,-0.2137220203873747,47.08273673754237,0.7764695738537823,4.905007695908264,-2.0,0.0,0.9395418180407414,-88.54169999999998,2022-09
fib,2022-08-26 14:00:00,2022-09-15 14:50:00,bear,4.92068234387047,1745.23,1760.65,1668.12,15.42,tp,5.033852140045166,0.7080415045349604,480.8333333333333,0.07347262233471968,0.010551442113000227,55.54611338998937,0.12415464167593172,0.5896809756860385,2.0,0.0,1.3524691358024692,0.512500000000005,-0.1175855294196976,-0.05367914430384485,45.56858218440668,0.219483736329384,0.9431442737870506,-2.0,0.0,3.2141854731651813,-3.2071999999999994,-0.03930360134226068,0.04820367930574731,55.35679687415698,0.15053250567923318,0.5675298896180414,-2.0,0.0,2.1982028241335048,-0.8355999999999977,0.09051500956894781,-0.005916786785093814,42.26529495382215,0.3920252986730732,1.574168955143888,1.0,0.0,1.4047478572424668,2.8124999999999902,-0.2717555577993099,-0.2137220203873747,47.08273673754237,0.7764695738537823,4.905007695908264,-2.0,0.0,0.9395418180407414,-88.54169999999998,2022-09
threevol,2022-10-10 06:30:00,2022-10-10 07:10:00,bear,-1.4259,1684.98,1687.87,1679.2,2.89,sl,0.04567474048287002,1.2103806227954261,0.6666666666666666,-0.026221062674266743,0.0034844100415555436,39.90581631391077,0.0807972560970472,0.20830359006197047,-2.0,0.0,1.6402877697841727,0.20230000000000584,-0.0983185592261065,-0.057003627439910345,15.927149042913072,0.13740957153636096,0.7079868885318238,-2.0,0.0,inf,-6.6021,-0.11859157021372094,-0.0034880771817107606,36.739290809702354,0.1327268467932073,0.6815622645962491,-2.0,0.0,2.3364898989898992,-1.2003999999999992,-0.12853175514333037,-0.06380604282797679,36.12863860111464,0.071971743223633,1.6091616444608765,-1.0,0.0,1.1963738442916378,-37.57110000000001,0.17823714472574131,0.3716644682005882,53.810969371320134,1.2204175892575073,6.942927225007092,1.0,0.0,0.020094568439620746,52.530200000000036,2022-10
threevol,2022-10-14 15:15:00,2022-10-16 22:00:00,bear,-0.25900375367758954,1645.29,1645.29,1636.0,4.64,be,1.119612068941374,0.7474137930874544,54.75,-0.10452557121233723,0.003377209833699336,39.817480028056956,0.16624225373027046,0.4347460040534721,-2.0,0.0,1.1017201679534065,-0.9852999999999943,-0.21969612614088618,-0.08923382428865781,36.71249828578755,0.41261143679429296,1.5315518088952222,-2.0,0.0,2.5783480352846833,-12.718900000000001,-0.20041863909915072,-0.0319810353403122,35.10554085580057,0.292612040374844,1.0143691927320364,-2.0,0.0,1.8505526897568163,-5.4311,-0.31223209763223625,-0.010426012185778915,35.49827886018497,0.6397012390963458,1.4178193707066593,-2.0,0.0,2.2670432613096074,4.424899999999997,-0.16212313045303714,-0.03857046251074902,43.189289967835236,1.2260835845840763,6.775989792937019,-2.0,0.0,1.3094016657239722,-69.09849999999997,2022-10
fvg,2022-11-03 02:15:00,2022-11-04 14:15:00,bear,-1.0370236263238888,1638.61,1671.38,1474.76,32.77,sl,0.6754043332295474,1.0451022276440574,36.0,0.049199386316286293,-0.01932424151567517,52.0756334900457,0.0703513625309996,0.413117952591929,2.0,0.0,2.1141826923076925,1.8568000000000056,-0.2138411249706066,-0.09171009044066282,38.52979483160258,0.37097358259920726,2.021106524715619,-2.0,0.0,1.2363627937155304,-23.904899999999994,-0.05341944806051153,0.06439919944954307,48.50498566439945,0.10754206732342061,0.5850396803830795,-2.0,0.0,1.0286339595112166,1.8942000000000008,-0.06931496358333436,-0.024704257606794875,38.382404360681775,0.6048204790780917,1.6454812053115335,-2.0,0.0,0.5178087747505034,-58.9675,-0.48670549244931516,-0.03674370107289203,41.33496048726338,1.1966414477038416,2.721889252846862,-2.0,0.0,1.4363879653381169,-129.66379999999998,2022-11
harmonic,2022-10-13 12:30:00,2022-11-04 18:40:00,bear,-1.0612244897959184,1658.71,1678.65,1558.99,19.94,sl,2.1180040120254837,1.0324974924722525,534.1666666666666,0.014302156981635627,-0.026256702217882222,41.32849520424598,0.11550014013590429,0.5442239377898981,-1.0,1.0,1.1864406779661016,-1.3367999999999942,0.07062543061420162,0.033556295046252904,65.08261897434541,0.18608180280639094,0.6435462183695076,2.0,0.0,1.5701718835673588,13.6586,0.08034827759550082,-0.0003018353857953958,50.82727462707385,0.14401363733509992,0.5959184302853009,2.0,1.0,2.8002097535395905,0.5850000000000006,-0.24072389038164071,0.10640301952898866,51.56466496598141,0.5400380537542058,1.3506112595147217,-2.0,0.0,1.7752859765569835,34.54729999999999,-0.07884463604818344,0.03431077249320764,46.68770013586147,1.1479544607973382,6.945806577028928,1.0,0.0,1.1423971419505718,-68.38209999999998,2022-11
threevol,2022-11-07 07:20:00,2022-11-07 08:10:00,bear,-1.4174125305126122,1667.72,1670.64,1661.88,2.92,sl,0.3023972602636296,1.1294520547558413,0.8333333333333334,-0.04998853754256447,-0.016274565859909666,30.30243380917996,0.06105368433592435,0.31010571205288184,-2.0,0.0,3.1663533834586466,-1.9361999999999953,-0.13506766842509674,-0.0560059181134107,18.47772429186385,0.13774690002142956,1.0546470436464648,-1.0,1.0,inf,-4.939599999999995,-0.07324688742568126,-0.0029359878185238283,34.31471543525211,0.1026603267309971,0.29577730082920545,-2.0,0.0,3.691123653155464,-1.2182999999999982,0.4762870085604057,-0.0682554439505031,58.133529655665605,0.06902591799220696,3.9341497461412174,2.0,1.0,1.2503520236848755,89.0941,-0.031463362660437796,0.2671193300465888,55.11919920757572,1.2018298402015994,4.039820371080681,1.0,0.0,0.04495251501554768,-122.49789999999997,2022-11
fib,2022-11-15 13:30:00,2022-11-17 02:25:00,bull,-1.068522090566731,1785.39,1766.55,1879.61,18.84,sl,0.039171974522076006,1.001220806788744,36.916666666666664,-0.00017947019421348903,-0.0009197640620859118,47.424663688529584,0.08460958524525991,0.17131600692394908,-1.0,1.0,1.9550123981579879,1.176200000000005,0.1398565535490862,0.0210402364444397,56.66268876222579,0.2561938117372218,0.824176884250383,2.0,1.0,1.6718380654802336,1.0290000000000061,0.02518647172048423,-0.010722501087949443,50.25837606820595,0.12168587646380813,0.2098189467478783,2.0,1.0,2.345743455899286,-2.5799999999999987,0.5120181384997197,-0.07645112814113274,64.6814316363649,0.3914963271766108,1.2425685221190208,2.0,1.0,2.0745113180506385,-4.931399999999984,1.5933652226984218,0.6987556974212725,72.19007140065345,1.4033208974083837,12.124577194671456,2.0,1.0,1.1903859445310432,156.98010000000005,2022-11
fvg,2022-11-15 13:40:00,2022-11-17 02:25:00,bull,-1.119099890230516,1777.37,1766.55,1831.49,10.82,sl,0.7650646950021731,1.0021256931515374,36.75,0.07837769957074345,0.05511056636042762,76.98353665229331,0.1301601205104266,0.7154901473487328,2.0,1.0,4.022082554781722,0.9708000000000052,0.1398565535490862,0.0210402364444397,56.66268876222579,0.2561938117372218,0.824176884250383,2.0,1.0,1.6718380654802336,1.0290000000000061,0.02518647172048423,-0.010722501087949443,50.25837606820595,0.12168587646380813,0.2098189467478783,2.0,1.0,2.345743455899286,-2.5799999999999987,0.5120181384997197,-0.07645112814113274,64.6814316363649,0.3914963271766108,1.2425685221190208,2.0,1.0,2.0745113180506385,-4.931399999999984,1.5933652226984218,0.6987556974212725,72.19007140065345,1.4033208974083837,12.124577194671456,2.0,1.0,1.1903859445310432,156.98010000000005,2022-11
harmonic,2022-12-30 01:00:00,2023-01-03 02:35:00,bull,4.598406000937646,1815.88,1812.52,1832.66,3.36,tp,5.276190476033399,0.8050595237856097,97.58333333333333,0.01400627012918189,0.007316532063999988,69.02293682284272,0.02405855230994821,0.1297302728909544,2.0,1.0,1.4229691876750699,0.16400000000000386,0.12880856095228405,0.010387512210796859,60.6828317757706,0.18870447625943426,0.9232709064473661,2.0,1.0,0.3983961190040096,5.241300000000006,0.0063096796111542335,0.0016055303729622804,59.273841694222185,0.029214799175788446,0.14571245437910002,2.0,1.0,0.3054923626909328,-0.036599999999999355,0.15109055114233683,0.039771297262873186,60.00472801414072,0.42810819830978314,1.4195376118931151,2.0,1.0,0.5467519011592674,32.06470000000001,0.5418840904349934,-0.03138618719256208,59.86357071462654,0.8080435979570637,2.497289174425636,2.0,1.0,0.7250453924216115,-37.40629999999996,2023-01
harmonic,2023-01-12 13:30:00,2023-02-03 14:15:00,bull,-1.089548225170312,1893.36,1878.09,1969.71,15.27,sl,4.339554682355347,1.1981008513346454,528.75,0.044225236348318875,-0.003197767105117292,51.259197008360616,0.09372909218528597,0.27385407236345605,2.0,1.0,7.597064709806538,-0.3052999999999958,0.11562072672090304,0.02826377325529981,67.91385403334971,0.16199738157913363,0.8606515384846629,2.0,1.0,1.260699742375135,3.2819000000000056,0.0713659253779704,0.012716408839184932,59.21341400044431,0.10103890143447077,0.41253961749046636,2.0,1.0,5.024723334118201,1.0179000000000005,0.27226093554548914,-0.006196275248080076,65.11878609990461,0.37025989128048986,0.9119230555879037,2.0,1.0,1.0118257060071258,45.9606,1.1755438689510993,0.19076886629879583,71.25792262072451,0.8069050530468511,6.2502336111484995,2.0,1.0,0.9995308830201257,233.94890000000004,2023-02
threevol,2023-02-07 15:35:00,2023-02-07 17:30:00,bull,-0.2658619622407923,1872.79,1872.79,1883.03,5.12,be,1.4052734374725409,0.5357421874895242,1.9166666666666667,0.0019227195726759098,0.0055726754898813725,59.31986763689588,0.1095797978086356,0.25803678756707793,1.0,1.0,0.7768698931489629,0.6574000000000042,0.007820826284131239,-0.019576833653164677,49.475873993581494,0.22954185937382626,0.6596424143244398,-2.0,0.0,2.1225724141189812,4.404000000000005,-0.04742785945758225,0.004911741782281386,48.01750988510451,0.1654389501887503,0.38463914188984494,-2.0,0.0,1.5172599059771656,-0.14540000000000108,-0.3911787859385584,0.14058700456402964,38.60708051908508,0.34382814254232624,0.9366308275072384,-2.0,0.0,1.7114244405830934,-16.101299999999988,-0.052348061746414744,-0.6288969668893534,39.646947212686634,1.2259812686103002,5.790115947041465,-1.0,1.0,1.0892816229614046,8.819300000000073,2023-02
harmonic,2023-02-07 15:35:00,2023-02-07 18:40:00,bull,-1.2652709806054017,1872.79,1867.67,1898.39,5.12,sl,2.257421874955908,1.1103515624783027,3.0833333333333335,0.0019227195726759098,0.0055726754898813725,59.31986763689588,0.1095797978086356,0.25803678756707793,1.0,1.0,0.7768698931489629,0.6574000000000042,0.007820826284131239,-0.019576833653164677,49.475873993581494,0.22954185937382626,0.6596424143244398,-2.0,0.0,2.1225724141189812,4.404000000000005,-0.04742785945758225,0.004911741782281386,48.01750988510451,0.1654389501887503,0.38463914188984494,-2.0,0.0,1.5172599059771656,-0.14540000000000108,-0.3911787859385584,0.14058700456402964,38.60708051908508,0.34382814254232624,0.9366308275072384,-2.0,0.0,1.7114244405830934,-16.101299999999988,-0.052348061746414744,-0.6288969668893534,39.646947212686634,1.2259812686103002,5.790115947041465,-1.0,1.0,1.0892816229614046,8.819300000000073,2023-02
threevol,2023-02-08 07:25:00,2023-02-08 10:50:00,bull,-0.3306092893348505,1879.28,1879.28,1887.55,4.13,be,1.7106537529852275,0.18765133171455167,3.4166666666666665,-0.00905023234680148,-0.006638756958442335,54.12268121005559,0.06297920677930703,0.2381611533135093,-1.0,1.0,3.1689989235737355,-0.03509999999999597,0.07004736859599392,0.012743797903197747,54.29721734902699,0.28300582999471957,0.771716703097409,2.0,0.0,0.8560103326949626,2.2994000000000065,0.026082135453252785,-0.012306668614655174,45.08025014638559,0.07879085506421948,0.19970258754929116,2.0,1.0,3.5055821371610842,-0.14000000000000096,-0.23417277468582567,0.14443818024854296,48.888329297085065,0.5341225279454629,1.0995279632772061,-2.0,0.0,0.7295068670920298,-14.279099999999985,-0.15265756266054825,-0.5822766404036791,41.48228053607868,1.2008416440663303,6.131008538920764,-1.0,1.0,1.2637483619100944,87.66630000000008,2023-02
harmonic,2023-02-14 07:15:00,2023-02-14 14:25:00,bull,-1.1402478201009638,1858.22,1848.62,1906.2,9.6,sl,1.2757291666533852,1.0921874999886363,7.166666666666667,0.058525918449228664,0.0049608287907510935,55.61457297566221,0.0747061006208903,0.3720780134015684,2.0,1.0,2.206148282097649,0.4602000000000043,-0.012423065442411802,0.056535740962607724,62.01790974817346,0.15194410046622434,0.6873168427748171,1.0,0.0,1.697920466982853,-2.2424999999999944,0.07931709731728477,0.01652576873659974,69.10959176728848,0.08251860361869173,0.34919373614424637,2.0,1.0,2.4152397260273974,0.30699999999999905,-0.18928990953491243,-0.023458639527394052,42.46267418231323,0.1981432765567623,0.866606313323696,-2.0,0.0,0.654728690998121,-13.005699999999987,-0.5527707869101972,-0.3381176453187901,36.15959254412065,1.1796207922893507,7.318183588318239,-1.0,1.0,0.8685281944011749,6.983600000000081,2023-02
