s,entry,exit,r,stop,dur_h,reason
fvg,2025-09-09 06:40:00,2025-09-09 08:45:00,-0.10127798597098107,11.13,2.0833333333333335,time
harmonic,2025-09-09 13:30:00,2025-09-09 14:00:00,-1.0166541760346406,8.72,0.5,sl
harmonic,2025-09-15 11:55:00,2025-09-15 12:15:00,-1.0386977370236392,3.74,0.3333333333333333,sl
harmonic,2025-09-15 12:35:00,2025-09-15 12:50:00,1.4627677660659641,4.16,0.25,tp
threevol,2025-09-16 00:15:00,2025-09-16 02:20:00,-0.12403168247889286,5.73,2.0833333333333335,time
threevol,2025-09-22 06:35:00,2025-09-22 08:40:00,0.8684967320261437,10.05,2.0833333333333335,time
fvg,2025-09-22 22:45:00,2025-09-22 23:20:00,1.4635952678657305,3.91,0.5833333333333334,tp
fvg,2025-09-23 08:40:00,2025-09-23 09:10:00,1.4817518248175183,8.14,0.5,tp
threevol,2025-09-23 08:40:00,2025-09-23 09:10:00,1.4817694833246933,8.14,0.5,tp
harmonic,2025-09-25 11:55:00,2025-09-25 12:35:00,-1.0103887399463807,14.17,0.6666666666666666,sl
threevol,2025-09-26 00:55:00,2025-09-26 01:15:00,-1.0235824961689086,6.25,0.3333333333333333,sl
harmonic,2025-09-26 00:55:00,2025-09-26 01:15:00,-1.0236140499365214,6.25,0.3333333333333333,sl
harmonic,2025-09-26 07:25:00,2025-09-26 08:05:00,1.4536514451855653,3.29,0.6666666666666666,tp
harmonic,2025-09-26 12:35:00,2025-09-26 14:00:00,1.4855023600809172,10.86,1.4166666666666667,tp
threevol,2025-09-29 08:10:00,2025-09-29 09:45:00,-1.0200412867710305,7.45,1.5833333333333333,sl
fvg,2025-09-30 06:40:00,2025-09-30 06:50:00,-1.0153199439514247,9.8,0.16666666666666666,sl
fvg,2025-10-01 00:30:00,2025-10-01 01:45:00,1.474473907709729,5.69,1.25,tp
fvg,2025-10-01 01:45:00,2025-10-01 03:50:00,-0.4215567748535292,13.89,2.0833333333333335,time
fvg,2025-10-08 01:55:00,2025-10-08 02:50:00,1.477773627194621,6.94,0.9166666666666666,tp
fvg,2025-10-08 02:50:00,2025-10-08 04:55:00,0.985091109884042,16.73,2.0833333333333335,time
fvg,2025-10-15 00:25:00,2025-10-15 01:10:00,1.4906588900027338,17.53,0.75,tp
fvg,2025-10-15 01:10:00,2025-10-15 03:15:00,0.07695761494252874,40.63,2.0833333333333335,time
fvg,2025-10-20 04:55:00,2025-10-20 05:45:00,-1.0081650964558098,19.64,0.8333333333333334,sl
fvg,2025-10-20 15:10:00,2025-10-20 17:15:00,-0.3183177739508746,11.9,2.0833333333333335,time
threevol,2025-10-20 15:10:00,2025-10-20 17:15:00,-0.31832797427652737,11.9,2.0833333333333335,time
threevol,2025-10-23 12:35:00,2025-10-23 14:05:00,1.4911944202266783,17.88,1.5,tp
threevol,2025-10-29 08:05:00,2025-10-29 09:45:00,1.486727944334679,11.29,1.6666666666666667,tp
fvg,2025-11-05 11:55:00,2025-11-05 14:00:00,1.2173122385888342,8.52,2.0833333333333335,time
fvg,2025-11-07 11:55:00,2025-11-07 12:30:00,-1.0246159374719253,6.26,0.5833333333333334,sl
fib,2025-11-10 14:40:00,2025-11-10 14:50:00,0.3386498144247166,7.32,0.16666666666666666,time
fvg,2025-11-10 14:40:00,2025-11-10 15:05:00,1.4786239448125624,7.32,0.4166666666666667,tp
fib,2025-11-13 13:00:00,2025-11-13 13:10:00,0.010997800439912019,13.2,0.16666666666666666,time
fib,2025-11-13 13:30:00,2025-11-13 13:40:00,0.5814255723283015,7.06,0.16666666666666666,time
fvg,2025-11-13 12:50:00,2025-11-13 14:05:00,-1.0072450805008946,22.09,1.25,sl
threevol,2025-11-17 01:30:00,2025-11-17 02:00:00,-1.0165058405281868,9.5,0.5,sl
fvg,2025-11-19 12:50:00,2025-11-19 13:05:00,-1.0207806288398988,7.54,0.25,sl
threevol,2025-11-25 02:45:00,2025-11-25 03:15:00,-1.0138532580810673,11.38,0.5,sl
harmonic,2025-12-03 15:00:00,2025-12-03 16:55:00,-1.0125415282392025,12.72,1.9166666666666667,sl
