s,entry,exit,r
threevol,2026-01-11 23:25:00,2026-01-12 00:10:00,1.6144682486309925
threevol,2026-01-12 00:10:00,2026-01-12 00:30:00,1.7131511770823484
fvg,2026-01-02 05:55:00,2026-01-21 00:30:00,4.958906589427951
threevol,2026-01-23 19:50:00,2026-01-23 20:05:00,-1.2751440788250605
threevol,2026-01-26 01:30:00,2026-01-26 04:45:00,-1.184069296676396
threevol,2026-01-26 06:40:00,2026-01-26 07:00:00,-1.2199142448785136
fvg,2026-01-23 19:00:00,2026-01-28 21:45:00,4.9558443051802445
threevol,2026-01-28 23:15:00,2026-01-28 23:35:00,1.9148258898427701
threevol,2026-01-29 03:50:00,2026-01-29 05:20:00,-0.20321817321344057
threevol,2026-02-04 00:10:00,2026-02-04 01:10:00,1.889226100151745
threevol,2026-02-04 03:35:00,2026-02-04 08:35:00,-0.17164665363492507
threevol,2026-02-06 18:35:00,2026-02-06 19:35:00,-1.2266666666666668
threevol,2026-02-11 05:35:00,2026-02-11 05:50:00,-1.302463891248938
fvg,2026-02-11 12:50:00,2026-02-11 13:30:00,-1.0870446453026568
threevol,2026-02-22 23:10:00,2026-02-23 16:15:00,1.8838833094213296
fvg,2026-02-23 14:05:00,2026-02-24 13:55:00,-1.1040039873733178
fvg,2026-03-02 13:05:00,2026-03-02 14:25:00,-1.0584611938626947
fib,2026-03-02 13:10:00,2026-03-02 14:25:00,-1.0735104462213052
threevol,2026-03-05 02:55:00,2026-03-05 04:00:00,-1.2561960195268496
harmonic,2026-03-06 15:00:00,2026-03-08 23:40:00,-1.0376619063434074
fvg,2026-03-09 23:20:00,2026-03-13 14:55:00,-1.0382590978550001
fib,2026-03-10 00:00:00,2026-03-13 14:55:00,-1.0438863300599637
threevol,2026-03-17 01:55:00,2026-03-17 05:45:00,-0.3619509412435824
threevol,2026-04-13 18:50:00,2026-04-13 19:05:00,-1.4235687022900763
threevol,2026-04-14 13:20:00,2026-04-14 14:35:00,1.7305197947923725
threevol,2026-04-16 06:45:00,2026-04-16 08:00:00,-1.2721217887725975
fvg,2026-04-13 18:50:00,2026-04-21 19:40:00,-1.071432656562768
harmonic,2026-04-07 17:00:00,2026-04-28 11:15:00,-1.0485938653600912
